file,label
data\features\mel_spectrograms\fake\ai_00122_0.npy,0
data\features\mel_spectrograms\real\22287_1.npy,1
data\features\mel_spectrograms\fake\ai_613_1.npy,0
data\features\mel_spectrograms\fake\ai_00154_0.npy,0
data\features\mel_spectrograms\real\19796_0.npy,1
data\features\mel_spectrograms\fake\ai_15_2.npy,0
data\features\mel_spectrograms\real\human_0878_0.npy,1
data\features\mel_spectrograms\real\15714_0.npy,1
data\features\mel_spectrograms\fake\ai_331_2.npy,0
data\features\mel_spectrograms\fake\ai_929_1.npy,0
data\features\mel_spectrograms\fake\ai_00355_0.npy,0
data\features\mel_spectrograms\real\human_0944_0.npy,1
data\features\mel_spectrograms\real\23557_1.npy,1
data\features\mel_spectrograms\real\human_0594_1.npy,1
data\features\mel_spectrograms\real\human_0754_0.npy,1
data\features\mel_spectrograms\fake\ai_00470_0.npy,0
data\features\mel_spectrograms\fake\ai_270_0.npy,0
data\features\mel_spectrograms\real\7618_1.npy,1
data\features\mel_spectrograms\real\15720_1.npy,1
data\features\mel_spectrograms\real\995_0.npy,1
data\features\mel_spectrograms\fake\ai_151_2.npy,0
data\features\mel_spectrograms\fake\ai_244_2.npy,0
data\features\mel_spectrograms\fake\ai_458_2.npy,0
data\features\mel_spectrograms\fake\ai_00000_1.npy,0
data\features\mel_spectrograms\fake\ai_00367_0.npy,0
data\features\mel_spectrograms\fake\ai_78_2.npy,0
data\features\mel_spectrograms\fake\ai_552_1.npy,0
data\features\mel_spectrograms\real\human_0323_2.npy,1
data\features\mel_spectrograms\fake\ai_00487_2.npy,0
data\features\mel_spectrograms\fake\ai_00494_0.npy,0
data\features\mel_spectrograms\real\26374_0.npy,1
data\features\mel_spectrograms\real\human_0829_0.npy,1
data\features\mel_spectrograms\fake\ai_518_1.npy,0
data\features\mel_spectrograms\real\human_0485_2.npy,1
data\features\mel_spectrograms\fake\ai_201_1.npy,0
data\features\mel_spectrograms\fake\ai_905_1.npy,0
data\features\mel_spectrograms\fake\ai_01039_1.npy,0
data\features\mel_spectrograms\real\15481_0.npy,1
data\features\mel_spectrograms\fake\ai_00361_0.npy,0
data\features\mel_spectrograms\fake\ai_00050_1.npy,0
data\features\mel_spectrograms\fake\ai_00212_0.npy,0
data\features\mel_spectrograms\real\human_0392_1.npy,1
data\features\mel_spectrograms\real\1002_1.npy,1
data\features\mel_spectrograms\fake\ai_360_2.npy,0
data\features\mel_spectrograms\real\26815_1.npy,1
data\features\mel_spectrograms\fake\ai_535_1.npy,0
data\features\mel_spectrograms\real\human_0815_1.npy,1
data\features\mel_spectrograms\fake\ai_183_1.npy,0
data\features\mel_spectrograms\fake\ai_782_3.npy,0
data\features\mel_spectrograms\real\15555_0.npy,1
data\features\mel_spectrograms\real\17607_0.npy,1
data\features\mel_spectrograms\fake\ai_00733_1.npy,0
data\features\mel_spectrograms\fake\ai_00566_0.npy,0
data\features\mel_spectrograms\fake\ai_00082_1.npy,0
data\features\mel_spectrograms\real\human_0951_0.npy,1
data\features\mel_spectrograms\fake\ai_356_0.npy,0
data\features\mel_spectrograms\fake\ai_130_3.npy,0
data\features\mel_spectrograms\real\1825_0.npy,1
data\features\mel_spectrograms\fake\ai_372_1.npy,0
data\features\mel_spectrograms\real\human_0669_0.npy,1
data\features\mel_spectrograms\real\human_0489_0.npy,1
data\features\mel_spectrograms\fake\ai_00897_0.npy,0
data\features\mel_spectrograms\fake\ai_747_0.npy,0
data\features\mel_spectrograms\real\26441_0.npy,1
data\features\mel_spectrograms\fake\ai_261_3.npy,0
data\features\mel_spectrograms\real\human_0942_1.npy,1
data\features\mel_spectrograms\real\3645_0.npy,1
data\features\mel_spectrograms\real\human_0244_1.npy,1
data\features\mel_spectrograms\fake\ai_00021_1.npy,0
data\features\mel_spectrograms\fake\ai_178_1.npy,0
data\features\mel_spectrograms\fake\ai_469_2.npy,0
data\features\mel_spectrograms\real\human_0556_1.npy,1
data\features\mel_spectrograms\fake\ai_865_3.npy,0
data\features\mel_spectrograms\fake\ai_00822_2.npy,0
data\features\mel_spectrograms\real\human_0497_1.npy,1
data\features\mel_spectrograms\fake\ai_442_3.npy,0
data\features\mel_spectrograms\fake\ai_120_0.npy,0
data\features\mel_spectrograms\fake\ai_00266_1.npy,0
data\features\mel_spectrograms\real\14773_0.npy,1
data\features\mel_spectrograms\fake\ai_537_0.npy,0
data\features\mel_spectrograms\real\human_0855_2.npy,1
data\features\mel_spectrograms\fake\ai_77_2.npy,0
data\features\mel_spectrograms\real\7774_1.npy,1
data\features\mel_spectrograms\fake\ai_00516_1.npy,0
data\features\mel_spectrograms\fake\ai_638_3.npy,0
data\features\mel_spectrograms\real\human_0879_0.npy,1
data\features\mel_spectrograms\fake\ai_509_3.npy,0
data\features\mel_spectrograms\fake\ai_272_1.npy,0
data\features\mel_spectrograms\real\human_0716_0.npy,1
data\features\mel_spectrograms\fake\ai_00528_1.npy,0
data\features\mel_spectrograms\fake\ai_127_1.npy,0
data\features\mel_spectrograms\fake\ai_935_1.npy,0
data\features\mel_spectrograms\real\human_0871_1.npy,1
data\features\mel_spectrograms\fake\ai_843_3.npy,0
data\features\mel_spectrograms\real\human_0439_1.npy,1
data\features\mel_spectrograms\real\844_0.npy,1
data\features\mel_spectrograms\fake\ai_00344_0.npy,0
data\features\mel_spectrograms\fake\ai_730_0.npy,0
data\features\mel_spectrograms\fake\ai_00267_1.npy,0
data\features\mel_spectrograms\fake\ai_243_2.npy,0
data\features\mel_spectrograms\real\1013_1.npy,1
data\features\mel_spectrograms\real\human_0599_1.npy,1
data\features\mel_spectrograms\fake\ai_00874_1.npy,0
data\features\mel_spectrograms\real\7783_0.npy,1
data\features\mel_spectrograms\real\15428_0.npy,1
data\features\mel_spectrograms\real\human_0717_0.npy,1
data\features\mel_spectrograms\real\13726_0.npy,1
data\features\mel_spectrograms\real\human_0195_0.npy,1
data\features\mel_spectrograms\fake\ai_747_3.npy,0
data\features\mel_spectrograms\fake\ai_99_1.npy,0
data\features\mel_spectrograms\real\16944_1.npy,1
data\features\mel_spectrograms\real\8005_1.npy,1
data\features\mel_spectrograms\fake\ai_237_0.npy,0
data\features\mel_spectrograms\real\human_0780_0.npy,1
data\features\mel_spectrograms\real\17022_1.npy,1
data\features\mel_spectrograms\real\human_0217_1.npy,1
data\features\mel_spectrograms\fake\ai_00103_1.npy,0
data\features\mel_spectrograms\fake\ai_00932_2.npy,0
data\features\mel_spectrograms\real\11406_0.npy,1
data\features\mel_spectrograms\real\21266_0.npy,1
data\features\mel_spectrograms\real\human_0346_1.npy,1
data\features\mel_spectrograms\real\21922_0.npy,1
data\features\mel_spectrograms\fake\ai_308_1.npy,0
data\features\mel_spectrograms\fake\ai_540_1.npy,0
data\features\mel_spectrograms\fake\ai_00977_2.npy,0
data\features\mel_spectrograms\fake\ai_48_1.npy,0
data\features\mel_spectrograms\real\15726_0.npy,1
data\features\mel_spectrograms\fake\ai_163_1.npy,0
data\features\mel_spectrograms\real\10850_0.npy,1
data\features\mel_spectrograms\fake\ai_989_1.npy,0
data\features\mel_spectrograms\fake\ai_00652_1.npy,0
data\features\mel_spectrograms\fake\ai_00004_1.npy,0
data\features\mel_spectrograms\fake\ai_00209_0.npy,0
data\features\mel_spectrograms\fake\ai_00888_0.npy,0
data\features\mel_spectrograms\real\human_0639_1.npy,1
data\features\mel_spectrograms\fake\ai_00173_0.npy,0
data\features\mel_spectrograms\fake\ai_00427_2.npy,0
data\features\mel_spectrograms\fake\ai_00778_1.npy,0
data\features\mel_spectrograms\real\human_0690_0.npy,1
data\features\mel_spectrograms\fake\ai_00428_0.npy,0
data\features\mel_spectrograms\real\1606_0.npy,1
data\features\mel_spectrograms\real\2807_0.npy,1
data\features\mel_spectrograms\real\16999_1.npy,1
data\features\mel_spectrograms\fake\ai_00833_1.npy,0
data\features\mel_spectrograms\fake\ai_77_4.npy,0
data\features\mel_spectrograms\fake\ai_00776_0.npy,0
data\features\mel_spectrograms\real\16609_0.npy,1
data\features\mel_spectrograms\fake\ai_85_0.npy,0
data\features\mel_spectrograms\real\human_0872_0.npy,1
data\features\mel_spectrograms\real\6385_1.npy,1
data\features\mel_spectrograms\fake\ai_00693_1.npy,0
data\features\mel_spectrograms\fake\ai_56_3.npy,0
data\features\mel_spectrograms\fake\ai_46_0.npy,0
data\features\mel_spectrograms\fake\ai_00771_2.npy,0
data\features\mel_spectrograms\fake\ai_00322_1.npy,0
data\features\mel_spectrograms\fake\ai_878_0.npy,0
data\features\mel_spectrograms\fake\ai_893_1.npy,0
data\features\mel_spectrograms\real\human_0381_0.npy,1
data\features\mel_spectrograms\real\11381_1.npy,1
data\features\mel_spectrograms\fake\ai_859_2.npy,0
data\features\mel_spectrograms\fake\ai_00072_1.npy,0
data\features\mel_spectrograms\fake\ai_00136_1.npy,0
data\features\mel_spectrograms\fake\ai_345_1.npy,0
data\features\mel_spectrograms\fake\ai_00893_1.npy,0
data\features\mel_spectrograms\fake\ai_914_0.npy,0
data\features\mel_spectrograms\fake\ai_00881_0.npy,0
data\features\mel_spectrograms\fake\ai_398_1.npy,0
data\features\mel_spectrograms\real\10852_0.npy,1
data\features\mel_spectrograms\fake\ai_251_1.npy,0
data\features\mel_spectrograms\real\human_0722_1.npy,1
data\features\mel_spectrograms\fake\ai_646_0.npy,0
data\features\mel_spectrograms\real\25325_1.npy,1
data\features\mel_spectrograms\fake\ai_170_1.npy,0
data\features\mel_spectrograms\fake\ai_186_3.npy,0
data\features\mel_spectrograms\fake\ai_00506_1.npy,0
data\features\mel_spectrograms\real\human_0663_1.npy,1
data\features\mel_spectrograms\fake\ai_00338_0.npy,0
data\features\mel_spectrograms\fake\ai_796_0.npy,0
data\features\mel_spectrograms\fake\ai_142_3.npy,0
data\features\mel_spectrograms\real\4745_0.npy,1
data\features\mel_spectrograms\fake\ai_374_3.npy,0
data\features\mel_spectrograms\real\human_0499_0.npy,1
data\features\mel_spectrograms\real\1642_0.npy,1
data\features\mel_spectrograms\real\human_0393_0.npy,1
data\features\mel_spectrograms\fake\ai_447_1.npy,0
data\features\mel_spectrograms\fake\ai_00509_2.npy,0
data\features\mel_spectrograms\fake\ai_00723_0.npy,0
data\features\mel_spectrograms\fake\ai_579_0.npy,0
data\features\mel_spectrograms\fake\ai_495_1.npy,0
data\features\mel_spectrograms\real\8032_0.npy,1
data\features\mel_spectrograms\real\23663_1.npy,1
data\features\mel_spectrograms\real\22791_0.npy,1
data\features\mel_spectrograms\fake\ai_642_1.npy,0
data\features\mel_spectrograms\fake\ai_600_1.npy,0
data\features\mel_spectrograms\fake\ai_01062_0.npy,0
data\features\mel_spectrograms\fake\ai_656_1.npy,0
data\features\mel_spectrograms\real\human_0304_0.npy,1
data\features\mel_spectrograms\real\human_0487_0.npy,1
data\features\mel_spectrograms\fake\ai_708_0.npy,0
data\features\mel_spectrograms\fake\ai_881_2.npy,0
data\features\mel_spectrograms\real\human_0964_1.npy,1
data\features\mel_spectrograms\real\human_0042_0.npy,1
data\features\mel_spectrograms\real\24121_1.npy,1
data\features\mel_spectrograms\fake\ai_729_3.npy,0
data\features\mel_spectrograms\real\human_0361_1.npy,1
data\features\mel_spectrograms\fake\ai_823_2.npy,0
data\features\mel_spectrograms\fake\ai_173_1.npy,0
data\features\mel_spectrograms\real\14552_0.npy,1
data\features\mel_spectrograms\fake\ai_517_0.npy,0
data\features\mel_spectrograms\fake\ai_271_2.npy,0
data\features\mel_spectrograms\real\human_0321_0.npy,1
data\features\mel_spectrograms\real\6396_0.npy,1
data\features\mel_spectrograms\fake\ai_1_2.npy,0
data\features\mel_spectrograms\real\human_0591_0.npy,1
data\features\mel_spectrograms\fake\ai_377_3.npy,0
data\features\mel_spectrograms\real\human_0357_1.npy,1
data\features\mel_spectrograms\fake\ai_834_1.npy,0
data\features\mel_spectrograms\real\human_0389_0.npy,1
data\features\mel_spectrograms\fake\ai_704_1.npy,0
data\features\mel_spectrograms\real\human_0417_1.npy,1
data\features\mel_spectrograms\fake\ai_663_2.npy,0
data\features\mel_spectrograms\real\human_0097_0.npy,1
data\features\mel_spectrograms\real\human_0294_0.npy,1
data\features\mel_spectrograms\real\16308_0.npy,1
data\features\mel_spectrograms\real\human_0331_1.npy,1
data\features\mel_spectrograms\fake\ai_01015_2.npy,0
data\features\mel_spectrograms\fake\ai_297_1.npy,0
data\features\mel_spectrograms\fake\ai_00829_2.npy,0
data\features\mel_spectrograms\fake\ai_218_1.npy,0
data\features\mel_spectrograms\real\6164_1.npy,1
data\features\mel_spectrograms\real\19213_1.npy,1
data\features\mel_spectrograms\fake\ai_394_0.npy,0
data\features\mel_spectrograms\fake\ai_757_2.npy,0
data\features\mel_spectrograms\fake\ai_786_3.npy,0
data\features\mel_spectrograms\real\16467_1.npy,1
data\features\mel_spectrograms\real\2992_0.npy,1
data\features\mel_spectrograms\real\25365_1.npy,1
data\features\mel_spectrograms\fake\ai_00821_0.npy,0
data\features\mel_spectrograms\real\5348_1.npy,1
data\features\mel_spectrograms\fake\ai_843_2.npy,0
data\features\mel_spectrograms\fake\ai_254_2.npy,0
data\features\mel_spectrograms\real\human_0728_0.npy,1
data\features\mel_spectrograms\fake\ai_00913_0.npy,0
data\features\mel_spectrograms\fake\ai_701_0.npy,0
data\features\mel_spectrograms\real\17540_0.npy,1
data\features\mel_spectrograms\fake\ai_00720_0.npy,0
data\features\mel_spectrograms\fake\ai_00578_1.npy,0
data\features\mel_spectrograms\fake\ai_91_2.npy,0
data\features\mel_spectrograms\fake\ai_735_1.npy,0
data\features\mel_spectrograms\real\14145_1.npy,1
data\features\mel_spectrograms\fake\ai_00878_0.npy,0
data\features\mel_spectrograms\fake\ai_281_1.npy,0
data\features\mel_spectrograms\real\17607_1.npy,1
data\features\mel_spectrograms\real\human_0645_1.npy,1
data\features\mel_spectrograms\real\6184_1.npy,1
data\features\mel_spectrograms\fake\ai_00626_2.npy,0
data\features\mel_spectrograms\fake\ai_455_2.npy,0
data\features\mel_spectrograms\fake\ai_00568_2.npy,0
data\features\mel_spectrograms\fake\ai_00180_2.npy,0
data\features\mel_spectrograms\real\human_0835_0.npy,1
data\features\mel_spectrograms\fake\ai_435_3.npy,0
data\features\mel_spectrograms\fake\ai_239_0.npy,0
data\features\mel_spectrograms\real\human_0317_0.npy,1
data\features\mel_spectrograms\fake\ai_893_0.npy,0
data\features\mel_spectrograms\fake\ai_00240_0.npy,0
data\features\mel_spectrograms\real\11542_1.npy,1
data\features\mel_spectrograms\real\human_0011_1.npy,1
data\features\mel_spectrograms\fake\ai_812_0.npy,0
data\features\mel_spectrograms\fake\ai_255_0.npy,0
data\features\mel_spectrograms\fake\ai_115_2.npy,0
data\features\mel_spectrograms\fake\ai_332_3.npy,0
data\features\mel_spectrograms\fake\ai_850_1.npy,0
data\features\mel_spectrograms\real\24379_0.npy,1
data\features\mel_spectrograms\real\10686_0.npy,1
data\features\mel_spectrograms\fake\ai_254_3.npy,0
data\features\mel_spectrograms\fake\ai_715_0.npy,0
data\features\mel_spectrograms\real\human_0209_0.npy,1
data\features\mel_spectrograms\fake\ai_871_2.npy,0
data\features\mel_spectrograms\fake\ai_65_0.npy,0
data\features\mel_spectrograms\real\5441_1.npy,1
data\features\mel_spectrograms\real\19207_0.npy,1
data\features\mel_spectrograms\fake\ai_00321_1.npy,0
data\features\mel_spectrograms\fake\ai_971_2.npy,0
data\features\mel_spectrograms\real\1796_1.npy,1
data\features\mel_spectrograms\fake\ai_00298_0.npy,0
data\features\mel_spectrograms\fake\ai_82_0.npy,0
data\features\mel_spectrograms\fake\ai_00091_2.npy,0
data\features\mel_spectrograms\real\human_0280_1.npy,1
data\features\mel_spectrograms\fake\ai_546_0.npy,0
data\features\mel_spectrograms\fake\ai_577_0.npy,0
data\features\mel_spectrograms\fake\ai_00978_0.npy,0
data\features\mel_spectrograms\real\6593_0.npy,1
data\features\mel_spectrograms\fake\ai_00517_0.npy,0
data\features\mel_spectrograms\fake\ai_754_2.npy,0
data\features\mel_spectrograms\fake\ai_192_1.npy,0
data\features\mel_spectrograms\fake\ai_00842_1.npy,0
data\features\mel_spectrograms\real\human_0705_1.npy,1
data\features\mel_spectrograms\fake\ai_404_3.npy,0
data\features\mel_spectrograms\fake\ai_530_3.npy,0
data\features\mel_spectrograms\fake\ai_00589_0.npy,0
data\features\mel_spectrograms\real\12715_1.npy,1
data\features\mel_spectrograms\real\8022_1.npy,1
data\features\mel_spectrograms\real\17211_1.npy,1
data\features\mel_spectrograms\fake\ai_890_3.npy,0
data\features\mel_spectrograms\fake\ai_993_0.npy,0
data\features\mel_spectrograms\fake\ai_756_3.npy,0
data\features\mel_spectrograms\fake\ai_345_3.npy,0
data\features\mel_spectrograms\fake\ai_00374_1.npy,0
data\features\mel_spectrograms\fake\ai_669_3.npy,0
data\features\mel_spectrograms\fake\ai_700_2.npy,0
data\features\mel_spectrograms\real\25761_0.npy,1
data\features\mel_spectrograms\real\24272_1.npy,1
data\features\mel_spectrograms\real\human_0672_0.npy,1
data\features\mel_spectrograms\fake\ai_772_2.npy,0
data\features\mel_spectrograms\real\human_0350_0.npy,1
data\features\mel_spectrograms\real\24505_0.npy,1
data\features\mel_spectrograms\fake\ai_650_1.npy,0
data\features\mel_spectrograms\fake\ai_266_1.npy,0
data\features\mel_spectrograms\real\5739_1.npy,1
data\features\mel_spectrograms\fake\ai_413_0.npy,0
data\features\mel_spectrograms\fake\ai_00992_0.npy,0
data\features\mel_spectrograms\real\9797_0.npy,1
